code_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.2
'bali_phy_msa.395.fas', 133.637, 127.041, 1359.614, 1175.27
'bali_phy_msa.396.fas', 133.245, 126.735, 1306.584, 1139.424
'bali_phy_msa.397.fas', 135.013, 128.382, 1381.217, 1166.712
'bali_phy_msa.398.fas', 134.447, 128.049, 1375.78, 1167.983
'bali_phy_msa.399.fas', 135.577, 129.141, 1378.495, 1188.741
'bali_phy_msa.4.fas', 135.952, 129.605, 1408.434, 1182.444
'bali_phy_msa.40.fas', 132.354, 125.092, 1285.805, 1112.25
'bali_phy_msa.400.fas', 134.652, 128.297, 1345.339, 1158.522
'bali_phy_msa.41.fas', 133.375, 126.661, 1450.254, 1146.427
'bali_phy_msa.42.fas', 132.919, 126.24, 1345.976, 1147.851
'bali_phy_msa.43.fas', 131.904, 125.254, 1348.668, 1136.242
'bali_phy_msa.44.fas', 133.774, 127.168, 1410.143, 1163.405
'bali_phy_msa.45.fas', 135.487, 129.036, 1364.246, 1186.351
'bali_phy_msa.46.fas', 130.826, 123.69, 1358.198, 1109.501
'bali_phy_msa.47.fas', 134.809, 128.084, 1386.553, 1175.034
'bali_phy_msa.48.fas', 132.853, 126.133, 1326.21, 1147.433
'bali_phy_msa.49.fas', 134.492, 128.347, 1544.95, 1178.062
'bali_phy_msa.5.fas', 134.17, 127.475, 1279.898, 1127.244
