code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.366.fas', -8.941, -4.601, -9.007, -13.876
'bali_phy_msa.367.fas', -12.024, -8.534, -11.789, -16.239
'bali_phy_msa.368.fas', -11.238, -7.255, -12.015, -15.057
'bali_phy_msa.369.fas', -8.281, -3.77, -9.102, -12.292
'bali_phy_msa.37.fas', -11.115, -7.708, -11.177, -15.695
'bali_phy_msa.370.fas', -9.464, -5.499, -10.185, -13.549
'bali_phy_msa.371.fas', -9.859, -5.875, -11.847, -12.729
'bali_phy_msa.372.fas', -8.191, -3.572, -9.027, -12.528
'bali_phy_msa.373.fas', -11.231, -7.866, -12.221, -15.789
'bali_phy_msa.374.fas', -7.787, -3.393, -11.878, -11.012
'bali_phy_msa.375.fas', -9.103, -5.16, -5.587, -14.265
'bali_phy_msa.376.fas', -7.671, -3.265, -10.509, -11.366
'bali_phy_msa.377.fas', -13.389, -9.998, -13.303, -17.734
'bali_phy_msa.378.fas', -13.697, -10.266, -14.53, -18.032
'bali_phy_msa.379.fas', -8.176, -3.425, -8.271, -12.387
'bali_phy_msa.38.fas', -10.168, -5.889, -12.533, -14.286
'bali_phy_msa.380.fas', -8.647, -4.296, -12.176, -12.864
'bali_phy_msa.381.fas', -9.24, -4.769, -9.508, -13.625
'bali_phy_msa.382.fas', -10.262, -6.119, -11.202, -14.785
'bali_phy_msa.383.fas', -12.002, -8.516, -12.052, -16.874
'bali_phy_msa.384.fas', -10.945, -7.11, -14.443, -15.205
'bali_phy_msa.385.fas', -13.317, -9.936, -10.683, -18.495
'bali_phy_msa.386.fas', -8.593, -4.246, -12.483, -12.618
'bali_phy_msa.387.fas', -11.66, -8.395, -10.443, -18.6
'bali_phy_msa.388.fas', -11.541, -7.621, -11.605, -16.023
