code_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.2
'bali_phy_msa.300.fas', 150.18, 143.786, 1476.864, 1281.593
'bali_phy_msa.301.fas', 150.98, 145.319, 1608.169, 1341.714
'bali_phy_msa.302.fas', 151.25, 145.759, 1540.288, 1335.568
'bali_phy_msa.303.fas', 151.971, 146.335, 1525.502, 1336.061
'bali_phy_msa.304.fas', 151.92, 146.37, 1607.028, 1347.276
'bali_phy_msa.305.fas', 152.595, 147.066, 1688.947, 1330.443
'bali_phy_msa.306.fas', 151.308, 145.602, 1613.748, 1321.328
'bali_phy_msa.307.fas', 151.196, 145.177, 1526.374, 1317.755
'bali_phy_msa.308.fas', 150.774, 144.856, 1586.927, 1294.243
'bali_phy_msa.309.fas', 151.651, 145.898, 1591.64, 1349.778
'bali_phy_msa.31.fas', 150.99, 144.872, 1564.846, 1302.032
'bali_phy_msa.310.fas', 153.019, 147.742, 1657.8, 1379.082
'bali_phy_msa.311.fas', 151.097, 145.6, 1513.34, 1339.75
'bali_phy_msa.312.fas', 150.555, 144.284, 1562.721, 1272.246
'bali_phy_msa.313.fas', 152.458, 146.832, 1670.576, 1321.777
'bali_phy_msa.314.fas', 150.591, 144.808, 1499.037, 1284.263
'bali_phy_msa.315.fas', 151.585, 145.884, 1534.679, 1324.689
'bali_phy_msa.316.fas', 152.069, 146.52, 1660.174, 1332.164
'bali_phy_msa.317.fas', 151.062, 145.192, 1527.964, 1325.577
'bali_phy_msa.318.fas', 152.478, 147.064, 1639.952, 1345.345
'bali_phy_msa.319.fas', 152.052, 146.529, 1577.721, 1346.535
'bali_phy_msa.32.fas', 149.803, 143.578, 1404.562, 1294.301
'bali_phy_msa.320.fas', 152.918, 147.384, 1632.265, 1372.191
'bali_phy_msa.321.fas', 151.564, 145.622, 1438.332, 1342.211
'bali_phy_msa.322.fas', 152.021, 146.532, 1660.629, 1370.492
'bali_phy_msa.323.fas', 150.795, 144.796, 1574.447, 1314.636
