code_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1
'bali_phy_msa.360.fas', 94.407, 84.111, 903.472, 759.869
'bali_phy_msa.361.fas', 92.301, 81.684, 844.125, 735.155
'bali_phy_msa.362.fas', 93.334, 82.739, 892.729, 734.098
'bali_phy_msa.363.fas', 92.25, 81.33, 895.124, 707.075
'bali_phy_msa.364.fas', 92.342, 81.332, 844.126, 720.672
'bali_phy_msa.365.fas', 93.636, 83.428, 928.048, 744.139
'bali_phy_msa.366.fas', 89.433, 78.142, 792.305, 666.552
'bali_phy_msa.367.fas', 93.153, 82.765, 1106.07, 760.434
'bali_phy_msa.368.fas', 94.146, 83.905, 944.325, 760.353
'bali_phy_msa.369.fas', 91.669, 80.532, 796.326, 710.884
'bali_phy_msa.37.fas', 94.832, 84.318, 850.199, 768.936
'bali_phy_msa.370.fas', 94.668, 84.623, 1007.248, 774.917
'bali_phy_msa.371.fas', 92.98, 82.544, 1018.324, 746.936
'bali_phy_msa.372.fas', 88.669, 76.939, 794.097, 681.103
'bali_phy_msa.373.fas', 92.995, 82.373, 921.968, 731.929
'bali_phy_msa.374.fas', 91.889, 80.583, 893.531, 722.116
'bali_phy_msa.375.fas', 94.05, 83.517, 928.564, 763.193
'bali_phy_msa.376.fas', 92.98, 82.393, 990.246, 755.72
'bali_phy_msa.377.fas', 94.521, 84.09, 983.166, 770.334
'bali_phy_msa.378.fas', 91.861, 81.264, 900.869, 743.682
'bali_phy_msa.379.fas', 93.736, 83.193, 942.064, 746.989
'bali_phy_msa.38.fas', 94.603, 84.161, 914.568, 768.588
'bali_phy_msa.380.fas', 89.979, 78.666, 829.746, 709.225
'bali_phy_msa.381.fas', 94.051, 83.827, 932.775, 753.559
'bali_phy_msa.382.fas', 92.687, 81.856, 884.437, 735.733
'bali_phy_msa.383.fas', 94.06, 83.725, 942.465, 755.651
'bali_phy_msa.384.fas', 92.486, 81.325, 864.252, 731.085
'bali_phy_msa.385.fas', 93.542, 83.039, 915.243, 758.113
'bali_phy_msa.386.fas', 92.034, 80.901, 810.779, 706.131
'bali_phy_msa.387.fas', 93.116, 82.271, 923.95, 738.75
'bali_phy_msa.388.fas', 93.608, 82.689, 969.314, 753.387
'bali_phy_msa.389.fas', 92.556, 81.611, 907.457, 737.678
'bali_phy_msa.39.fas', 92.382, 82.103, 980.455, 741.947
