code_BLOSUM62_GO_-10_GE_-0.2,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-10_GE_-0.2,sp_norm_BLOSUM62_GO_-10_GE_-0.2
'MUSCLE_diversified_replicate.abc.333.afa', 33504.0, 0.066, 28516, 0.056, 4871, 0.01, 97881, 0.192, 182055.0, 0.357, -16004, -0.031, 97764.8, 0.192
'MUSCLE_diversified_replicate.abc.337.afa', 33302.0, 0.063, 28647, 0.054, 5061, 0.01, 98023, 0.186, 180867.0, 0.343, -15854, -0.03, 94798.4, 0.18
'MUSCLE_diversified_replicate.abc.341.afa', 31237.0, 0.062, 33665, 0.067, 4831, 0.01, 92117, 0.183, 169914.0, 0.337, -23739, -0.047, 79441.6, 0.157
'MUSCLE_diversified_replicate.abc.345.afa', 33256.0, 0.063, 28420, 0.054, 4917, 0.009, 98569, 0.187, 180492.0, 0.342, -16295, -0.031, 95313.2, 0.181
'MUSCLE_diversified_replicate.abc.349.afa', 32580.0, 0.062, 30451, 0.058, 5076, 0.01, 95859, 0.181, 177208.0, 0.335, -18515, -0.035, 88761.2, 0.168
'MUSCLE_diversified_replicate.abc.353.afa', 32032.0, 0.064, 32709, 0.065, 5086, 0.01, 92439, 0.184, 174139.0, 0.347, -22078, -0.044, 82713.2, 0.165
'MUSCLE_diversified_replicate.abc.357.afa', 32458.0, 0.063, 29666, 0.058, 5166, 0.01, 97673, 0.19, 176704.0, 0.343, -17769, -0.035, 87740.4, 0.171
'MUSCLE_diversified_replicate.abc.361.afa', 31468.0, 0.062, 32450, 0.064, 4898, 0.01, 94085, 0.186, 171108.0, 0.337, -21630, -0.043, 81681.0, 0.161
'MUSCLE_diversified_replicate.abc.365.afa', 32289.0, 0.064, 31132, 0.061, 5311, 0.01, 95079, 0.187, 175101.0, 0.344, -19794, -0.039, 83181.2, 0.164
'MUSCLE_diversified_replicate.abc.369.afa', 32152.0, 0.064, 30960, 0.061, 5140, 0.01, 95697, 0.189, 174787.0, 0.345, -19644, -0.039, 84603.6, 0.167
'MUSCLE_diversified_replicate.abc.37.afa', 32304.0, 0.062, 30972, 0.059, 4997, 0.01, 95369, 0.183, 175649.0, 0.337, -20082, -0.039, 86523.2, 0.166
'MUSCLE_diversified_replicate.abc.373.afa', 32394.0, 0.062, 30961, 0.059, 4982, 0.01, 95211, 0.182, 176290.0, 0.338, -19119, -0.037, 88308.8, 0.169
'MUSCLE_diversified_replicate.abc.377.afa', 31940.0, 0.061, 31217, 0.06, 4931, 0.009, 95607, 0.182, 173563.0, 0.331, -20690, -0.039, 84441.6, 0.161
'MUSCLE_diversified_replicate.abc.381.afa', 31596.0, 0.062, 33506, 0.066, 4912, 0.01, 91717, 0.181, 171988.0, 0.34, -22502, -0.044, 82022.6, 0.162
'MUSCLE_diversified_replicate.abc.385.afa', 32641.0, 0.065, 30342, 0.061, 5069, 0.01, 95955, 0.192, 177749.0, 0.356, -18282, -0.037, 89586.0, 0.179
'MUSCLE_diversified_replicate.abc.389.afa', 31511.0, 0.06, 33111, 0.063, 4891, 0.009, 92677, 0.178, 171265.0, 0.328, -23034, -0.044, 80785.6, 0.155
